Info,Info,Info,Objective,Objective,Extra Output,Variable,Variable,Variable
Iteration,Generation,Category,Cooling (Electric) (kWh),Heating (Gas) (kWh),Discomfort (All Clothing) (hr),Local shading type,Window Size,Site orientation (°)
991,23, ,1.270.076.966,454.901.225,645.000,5m Overhang,"Height: 3.6m, Width: 1m",0
992,23, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
993,23, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
994,23, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
995,23, ,173.787.907,3.691.828.077,2.630.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",45
996,23, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
997,23, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
998,23, ,274.218.591,175.918.854,13.120.000,0.5m Overhang,"Height: 3.6m, Width: 1m",45
999,23, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1000,24, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1001,24, ,176.636.954,3.006.075.818,2.550.000,2.5m Overhang,"Height: 3.6m, Width: 10m",315
1002,24, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
1003,24, ,1.341.823.859,517.849.598,910.000,1.5m Overhang,"Height: 3.6m, Width: 1m",180
1004,24, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1005,24, ,1.118.636.712,6.135.275.551,1.225.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",0
1006,24, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
1007,24, ,287.939.267,173.206.391,14.215.000,0.5m Overhang,"Height: 3.6m, Width: 5m",45
1008,24, ,324.981.923,14.991.158,16.270.000,No shading,"Height: 3.6m, Width: 5m",45
1009,24, ,320.072.146,151.493.867,16.015.000,No shading,"Height: 3.6m, Width: 2.5m",45
1010,24, ,199.434.305,1.859.191.813,3.165.000,0.2m Louvre,"Height: 3.6m, Width: 5m",0
1011,24, ,207.147.831,2.166.349.961,3.685.000,2.0m Overhang,"Height: 3.6m, Width: 1m",45
1012,24, ,274.218.591,175.918.854,13.120.000,0.5m Overhang,"Height: 3.6m, Width: 1m",45
1013,24, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1014,24, ,222.159.963,1.792.642.578,6.260.000,2m Sidefin,"Height: 3.6m, Width: 2.5m",0
1015,24, ,1.061.363.068,6.447.869.851,1.345.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
1016,24, ,193.371.169,227.910.893,2.100.000,2.5m Overhang,"Height: 3.6m, Width: 1m",45
1017,24, ,278.769.362,1.088.523.121,11.060.000,1m Sidefin,"Height: 3.6m, Width: 5m",0
1018,24, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1019,24, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1020,24, ,298.060.647,150.313.498,12.400.000,1m Sidefin,"Height: 3.6m, Width: 5m",315
1021,24, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1022,24, ,30.534.583,91.941.886,13.385.000,No shading,"Height: 3.6m, Width: 5m",0
1023,24, ,1.270.076.966,454.901.225,645.000,5m Overhang,"Height: 3.6m, Width: 1m",0
1024,24, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1025,24, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
1026,24, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1027,24, ,327.436.566,149.152.165,16.375.000,No shading,"Height: 3.6m, Width: 10m",45
1028,24, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
1029,24, ,195.002.162,2.577.841.685,4.460.000,2.0m Overhang,"Height: 3.6m, Width: 10m",315
1030,24, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1031,24, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1032,24, ,22.237.795,2.298.088.117,6.440.000,1.5m Overhang,"Height: 3.6m, Width: 5m",45
1033,24, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1034,24, ,1.819.286.463,4.913.389.624,6.765.000,1.5m Sidefin,"Height: 3.6m, Width: 5m",135
1035,24, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1036,24, ,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1037,24, ,1.332.744.432,536.942.155,1.025.000,0.2m Louvre,"Height: 3.6m, Width: 2.5m",180
1038,24, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1039,24, ,1.245.746.237,609.666.914,1.305.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",135
1040,24, ,132.516.207,425.552.435,560.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",45
1041,24, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1042,24, ,22.517.112,2.189.325.727,7.215.000,1.5m Overhang,"Height: 3.6m, Width: 1m",315
1043,24, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1044,24, ,30.534.583,91.941.886,13.385.000,No shading,"Height: 3.6m, Width: 5m",0
1045,24, ,199.434.305,1.859.191.813,3.165.000,0.2m Louvre,"Height: 3.6m, Width: 5m",0
1046,24, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1047,24, ,158.904.896,3.460.769.821,1.175.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",0
1048,24, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
1049,24, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
1050,25, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1051,25, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
1052,25, ,174.940.065,2.156.532.608,1.715.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 5m",0
1053,25, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1054,25, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1055,25, ,1.313.694.732,581.674.727,1.170.000,5m Overhang,"Height: 3.6m, Width: 5m",135
1056,25, ,203.227.404,2.888.047.234,4.965.000,1m Sidefin,"Height: 3.6m, Width: 1m",45
1057,25, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1058,25, ,224.968.183,2.048.083.115,6.250.000,1.5m Overhang,"Height: 3.6m, Width: 1m",45
1059,25, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
1060,25, ,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1061,25, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
1062,25, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1063,25, ,142.305.511,3.385.096.312,380.000,1m Sidefin + 1m Overhang,"Height: 3.6m, Width: 1m",0
1064,25, ,199.434.305,1.859.191.813,3.165.000,0.2m Louvre,"Height: 3.6m, Width: 5m",0
1065,25, ,198.840.695,1.649.471.106,3.445.000,1.5m Overhang,"Height: 3.6m, Width: 10m",0
1066,25, ,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1067,25, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1068,25, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
1069,25, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1070,25, ,1.896.108.672,4.695.297.012,7.600.000,0.5m Overhang,"Height: 3.6m, Width: 5m",135
1071,25, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1072,25, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1073,25, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
1074,25, ,27.805.642,170.446.873,11.220.000,2.5m Sidefin,"Height: 3.6m, Width: 5m",315
1075,25, ,1.366.103.759,507.302.306,955.000,1.0m Overhang,"Height: 3.6m, Width: 1m",180
1076,25, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
1077,25, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1078,25, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1079,25, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
1080,25, ,1.145.302.943,641.747.706,1.385.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",135
1081,25, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1082,25, ,158.745.499,3.522.661.014,885.000,1m Sidefin + 1m Overhang,"Height: 3.6m, Width: 1m",45
1083,25, ,1.083.241.469,6.230.275.678,1.225.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
1084,25, ,1.058.487.165,6.002.975.435,1.060.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
1085,25, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1086,25, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1087,25, ,321.371.315,129.922.455,13.680.000,No shading,"Height: 3.6m, Width: 5m",315
1088,25, ,246.697.727,135.498.476,8.325.000,1m Sidefin,"Height: 3.6m, Width: 2.5m",0
1089,25, ,1.458.940.406,521.311.618,2.130.000,2.5m Overhang,"Height: 3.6m, Width: 1m",225
1090,25, ,162.228.732,249.747.144,800.000,2.5m Overhang,"Height: 3.6m, Width: 10m",0
1091,25, ,204.449.753,1.564.855.316,3.785.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1092,25, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
1093,25, ,222.292.504,2.165.328.475,7.000.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",315
1094,25, ,1.216.379.769,595.124.692,1.175.000,1.5m Sidefin,"Height: 3.6m, Width: 1m",135
1095,25, ,1.623.080.635,5.175.115.959,3.715.000,2.0m Overhang,"Height: 3.6m, Width: 5m",135
1096,25, ,205.984.606,1.590.776.092,4.125.000,1m Sidefin + 1m Overhang,"Height: 3.6m, Width: 5m",0
1097,25, ,227.628.024,132.610.171,5.960.000,1.0m Overhang,"Height: 3.6m, Width: 5m",0
1098,25, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1099,25, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
1100,26, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1101,26, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1102,26, ,278.769.362,1.088.523.121,11.060.000,1m Sidefin,"Height: 3.6m, Width: 5m",0
1103,26, ,198.840.695,1.649.471.106,3.445.000,1.5m Overhang,"Height: 3.6m, Width: 10m",0
1104,26, ,29.052.664,998.629.251,11.970.000,0.5m Sidefin,"Height: 3.6m, Width: 5m",0
1105,26, ,231.845.059,2.318.332.587,8.175.000,1m Sidefin + 1m Overhang,"Height: 3.6m, Width: 5m",45
1106,26, ,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1107,26, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
1108,26, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1109,26, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
1110,26, ,149.571.238,298.016.663,455.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 10m",0
1111,26, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1112,26, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1113,26, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1114,26, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1115,26, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1116,26, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1117,26, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
1118,26, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1119,26, ,132.516.207,425.552.435,560.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",45
1120,26, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1121,26, ,242.979.472,2.304.253.019,10.005.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",45
1122,26, ,203.227.404,2.888.047.234,4.965.000,1m Sidefin,"Height: 3.6m, Width: 1m",45
1123,26, ,128.063.505,487.914.397,690.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",45
1124,26, ,118.360.904,557.277.864,1.000.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
1125,26, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1126,26, ,162.228.732,249.747.144,800.000,2.5m Overhang,"Height: 3.6m, Width: 10m",0
1127,26, ,198.840.695,1.649.471.106,3.445.000,1.5m Overhang,"Height: 3.6m, Width: 10m",0
1128,26, ,118.875.739,606.122.223,1.220.000,2m Sidefin,"Height: 3.6m, Width: 1m",135
1129,26, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1130,26, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1131,26, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1132,26, ,223.783.064,340.029.338,7.720.000,1.0m Overhang,"Height: 3.6m, Width: 1m",270
1133,26, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
1134,26, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1135,26, ,1.137.351.276,560.836.052,985.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
1136,26, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1137,26, ,22.822.059,131.777.832,6.085.000,1.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1138,26, ,1.061.363.068,6.447.869.851,1.345.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
1139,26, ,30.071.439,9.297.241,12.905.000,No shading,"Height: 3.6m, Width: 2.5m",0
1140,26, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
1141,26, ,162.228.732,249.747.144,800.000,2.5m Overhang,"Height: 3.6m, Width: 10m",0
1142,26, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1143,26, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1144,26, ,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1145,26, ,1.766.010.846,4.147.146.335,4.215.000,2.5m Overhang,"Height: 3.6m, Width: 1m",270
1146,26, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1147,26, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1148,26,Pareto,261.105.771,1.096.792.572,8.765.000,0.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1149,26, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1150,27, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1151,27, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1152,27, ,246.697.727,135.498.476,8.325.000,1m Sidefin,"Height: 3.6m, Width: 2.5m",0
1153,27, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1154,27, ,204.449.753,1.564.855.316,3.785.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1155,27, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
1156,27, ,113.728.321,591.956.731,1.125.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",0
1157,27, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
1158,27, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1159,27, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1160,27, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1161,27, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1162,27, ,113.728.321,591.956.731,1.125.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",0
1163,27, ,1.193.200.657,5.228.461,910.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",315
1164,27, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1165,27, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1166,27, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1167,27, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
1168,27, ,2.288.478.971,446.915.093,8.545.000,2.5m Sidefin,"Height: 3.6m, Width: 2.5m",270
1169,27, ,198.840.695,1.649.471.106,3.445.000,1.5m Overhang,"Height: 3.6m, Width: 10m",0
1170,27, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
1171,27, ,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1172,27, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1173,27, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1174,27, ,1.224.607.948,52.148.434,870.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
1175,27, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1176,27, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1177,27, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1178,27, ,220.234.426,2.167.309.106,6.810.000,1.5m Overhang,"Height: 3.6m, Width: 5m",315
1179,27, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1180,27, ,1.846.203.991,468.150.456,7.000.000,0.5m Overhang,"Height: 3.6m, Width: 1m",135
1181,27, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1182,27, ,261.105.771,1.096.792.572,8.765.000,0.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1183,27, ,22.822.059,131.777.832,6.085.000,1.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1184,27, ,270.141.472,159.320.411,10.755.000,0.5m Overhang,"Height: 3.6m, Width: 1m",315
1185,27, ,30.071.439,9.297.241,12.905.000,No shading,"Height: 3.6m, Width: 2.5m",0
1186,27, ,187.532.219,1.863.814.049,2.565.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 10m",0
1187,27, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1188,27, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1189,27, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1190,27, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1191,27, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1192,27, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
1193,27, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
1194,27, ,187.532.219,1.863.814.049,2.565.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 10m",0
1195,27,Pareto,135.361.508,371.099.581,425.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 2.5m",0
1196,27, ,120.823.609,542.056.697,925.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",0
1197,27, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1198,27, ,30.071.439,9.297.241,12.905.000,No shading,"Height: 3.6m, Width: 2.5m",0
1199,28, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1200,28, ,118.360.904,557.277.864,1.000.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
1201,28, ,204.801.379,3.663.633.745,6.400.000,1.5m Overhang,"Height: 3.6m, Width: 1m",270
1202,28, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1203,28, ,22.822.059,131.777.832,6.085.000,1.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1204,28, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
1205,28, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1206,28, ,13.863.918,527.197.481,925.000,5m Overhang,"Height: 3.6m, Width: 10m",90
1207,28, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
1208,28, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
1209,28, ,1.780.451.852,4.902.742.377,6.420.000,1.5m Overhang,"Height: 3.6m, Width: 1m",135
1210,28, ,1.061.363.068,6.447.869.851,1.345.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
1211,28, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
1212,28, ,30.534.583,91.941.886,13.385.000,No shading,"Height: 3.6m, Width: 5m",0
1213,28, ,231.403.514,1.582.874.028,7.060.000,1.5m Sidefin,"Height: 3.6m, Width: 2.5m",0
1214,28, ,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1215,28, ,198.009.137,2.560.969.527,4.855.000,2.0m Overhang,"Height: 3.6m, Width: 5m",315
1216,28, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1217,28, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
1218,28, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1219,28, ,204.449.753,1.564.855.316,3.785.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1220,28, ,30.071.439,9.297.241,12.905.000,No shading,"Height: 3.6m, Width: 2.5m",0
1221,28, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
1222,28, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
1223,28, ,1.804.412.187,4.805.036.923,6.600.000,1.0m Overhang,"Height: 3.6m, Width: 1m",135
1224,28, ,204.449.753,1.564.855.316,3.785.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1225,28, ,204.449.753,1.564.855.316,3.785.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1226,28, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
1227,28, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
1228,28, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
1229,28, ,203.649.949,2.539.180.504,5.550.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",315
1230,28, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
1231,28, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
1232,28, ,204.449.753,1.564.855.316,3.785.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",0
1233,28, ,24384.43,186.406.472,8.745.000,1.0m Overhang,"Height: 3.6m, Width: 1m",315
1234,28, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1235,28, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
1236,28, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
1237,28, ,1.732.849.452,4.976.560.034,5.545.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",135
1238,28, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
1239,28, ,30.534.583,91.941.886,13.385.000,No shading,"Height: 3.6m, Width: 5m",0
1240,28, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
