Info,Info,Info,Objective,Objective,Extra Output,Variable,Variable,Variable
Iteration,Generation,Category,Cooling (Electric) (kWh),Heating (Gas) (kWh),Discomfort (All Clothing) (hr),Local shading type,Window Size,Site orientation (°)
83,4, ,286.949.433,1.061.957.269,11.890.000,2.5m Sidefin,"Height: 3.6m, Width: 10m",0
84,4, ,186.043.535,3.273.921.133,3.435.000,1.5m Sidefin,"Height: 3.6m, Width: 1m",45
85,4,Pareto,174.877.042,2.166.051.042,1.200.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",0
86,4, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
87,4, ,1.541.612.473,5.955.865.632,3.865.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",90
88,4, ,1.288.934.505,489.278.657,700.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",45
89,4, ,301.586.834,172.958.609,14.835.000,1m Sidefin,"Height: 3.6m, Width: 5m",45
90,4, ,308.207.139,166.743.516,15.285.000,2.5m Sidefin,"Height: 3.6m, Width: 10m",45
91,4, ,1.798.388.815,424.536.522,4.670.000,2.5m Overhang,"Height: 3.6m, Width: 5m",270
92,4, ,227.628.024,132.610.171,5.960.000,1.0m Overhang,"Height: 3.6m, Width: 5m",0
93,4, ,1.239.372.675,609.072.738,1.295.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",225
94,4, ,1.118.636.712,6.135.275.551,1.225.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",0
95,4,Pareto,129.918.229,436.964.205,545.000,5m Overhang,"Height: 3.6m, Width: 1m",45
96,4,Pareto,1.087.287.474,5.706.929.575,915.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
97,4, ,1.257.516.278,551.475.882,1.075.000,2m Sidefin,"Height: 3.6m, Width: 2.5m",180
98,4, ,153.462.361,279.741.444,635.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 5m",0
99,4, ,1.251.249.008,540.296.762,970.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",180
100,4, ,260.714.203,3.256.098.825,11.645.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 10m",90
101,4, ,240.099.401,204.046.494,8.910.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",315
102,4, ,1.243.990.912,610.088.942,1.305.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",225
103,4, ,276.273.877,187.382.341,13.230.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 5m",45
104,4, ,251.851.436,1.971.757.732,10.805.000,1.0m Overhang,"Height: 3.6m, Width: 2.5m",45
105,4, ,1.257.516.278,551.475.882,1.075.000,2m Sidefin,"Height: 3.6m, Width: 2.5m",180
106,5, ,1.292.940.938,575.586.009,1.220.000,1m Sidefin,"Height: 3.6m, Width: 1m",135
107,5, ,128.063.505,487.914.397,690.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",45
108,5,Pareto,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
109,5, ,1.041.945.468,6.597.356.278,1.425.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
110,5, ,227.628.024,132.610.171,5.960.000,1.0m Overhang,"Height: 3.6m, Width: 5m",0
111,5, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
112,5, ,1.165.219.391,6.355.105.146,1.360.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",90
113,5, ,213.496.699,2.339.310.167,5.460.000,0.2m Louvre,"Height: 3.6m, Width: 1m",45
114,5, ,259.101.743,1.326.621.014,9.530.000,2.5m Sidefin,"Height: 3.6m, Width: 5m",0
115,5,Pareto,250.364.976,1.194.180.329,7.830.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 5m",0
116,5,Pareto,1.117.063.271,5.485.825.817,850.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
117,5, ,25.723.867,356.619.859,9.905.000,2.5m Sidefin,"Height: 3.6m, Width: 5m",270
118,5, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
119,5, ,1.209.343.153,62.220.329,1.345.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",135
120,5, ,1.846.203.991,468.150.456,7.000.000,0.5m Overhang,"Height: 3.6m, Width: 1m",135
121,5,Pareto,1.069.318.178,5.874.044.331,1.005.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
122,5, ,1.226.039.182,526.755.636,885.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",0
123,5, ,249.362.226,181.193.127,9.185.000,1.0m Overhang,"Height: 3.6m, Width: 5m",315
124,5, ,276.273.877,187.382.341,13.230.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 5m",45
125,5, ,1.166.124.654,633.200.298,1.370.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",225
126,5, ,1.258.065.256,489.105.183,695.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",45
127,5, ,175.987.072,3.067.772.779,980.000,2.5m Overhang,"Height: 3.6m, Width: 10m",45
128,5, ,1.063.650.659,6.565.856.896,1.440.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",225
129,5, ,170.136.806,3.245.930.961,795.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 5m",45
130,5,Pareto,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
131,5, ,151.079.934,37.097.086,500.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 5m",45
132,5, ,1.262.608.035,571.210.062,1.130.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",270
133,5, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
134,5, ,1.097.760.455,644.990.921,1.350.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",225
135,5, ,301.586.834,172.958.609,14.835.000,1m Sidefin,"Height: 3.6m, Width: 5m",45
136,5, ,279.473.898,3.156.981.891,12.490.000,2m Sidefin,"Height: 3.6m, Width: 10m",90
137,6, ,1.087.287.474,5.706.929.575,915.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
138,6, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
139,6, ,188.924.762,1.915.073.433,2.825.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 1m",0
140,6, ,200.937.215,2.647.514.382,5.640.000,1m Sidefin,"Height: 3.6m, Width: 1m",315
141,6, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
142,6,Pareto,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
143,6, ,1.087.287.474,5.706.929.575,915.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
144,6, ,292.851.751,182.001.615,14.270.000,1.5m Sidefin,"Height: 3.6m, Width: 5m",45
145,6, ,1.752.713.917,5.413.854.668,5.525.000,1m Sidefin + 1m Overhang,"Height: 3.6m, Width: 1m",270
146,6, ,269.471.555,1.125.832.975,10.080.000,0.5m Sidefin,"Height: 3.6m, Width: 2.5m",0
147,6, ,1.201.013.593,548.336.327,955.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",0
148,6, ,1.204.236.942,610.057.002,1.220.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",90
149,6,Pareto,113.544.968,5.188.806.208,880.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 1m",0
150,6, ,185.956.133,2.596.894.407,1.415.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",45
151,6, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
152,6, ,188.924.762,1.915.073.433,2.825.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 1m",0
153,6, ,247.295.905,1.914.830.613,10.235.000,1.0m Overhang,"Height: 3.6m, Width: 1m",45
154,6, ,1.210.039.011,520.847.191,860.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",0
155,6, ,1.304.617.949,472.940.637,660.000,5m Overhang,"Height: 3.6m, Width: 5m",45
156,6, ,224.968.183,2.048.083.115,6.250.000,1.5m Overhang,"Height: 3.6m, Width: 1m",45
157,6,Pareto,174.940.065,2.156.532.608,1.715.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 5m",0
158,6,Pareto,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
159,6, ,1.117.063.271,5.485.825.817,850.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
160,6, ,1.057.606.065,6.569.856.887,1.450.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",180
161,6, ,1.137.351.276,560.836.052,985.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
162,6, ,305.199.054,15.691.766,15.220.000,No shading,"Height: 3.6m, Width: 1m",45
163,6, ,1.440.778.321,493.561.476,1.115.000,0.5m Overhang,"Height: 3.6m, Width: 5m",180
164,6, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
165,6, ,1.202.196.927,609.878.469,1.280.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",270
166,6, ,209.893.477,2.565.155.668,4.910.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 10m",45
167,6, ,1.288.934.505,489.278.657,700.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",45
168,6,Pareto,142.305.511,3.385.096.312,380.000,1m Sidefin + 1m Overhang,"Height: 3.6m, Width: 1m",0
169,6, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
170,6, ,1.117.063.271,5.485.825.817,850.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
171,6, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
172,6, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
173,6, ,129.918.229,436.964.205,545.000,5m Overhang,"Height: 3.6m, Width: 1m",45
174,6, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
175,7, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
176,7, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
177,7, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
178,7, ,1.393.461.187,511.434.922,865.000,5m Overhang,"Height: 3.6m, Width: 5m",90
179,7, ,215.451.325,2.571.191.905,5.865.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 1m",45
180,7, ,200.315.066,1.833.281.341,3.305.000,0.2m Louvre,"Height: 3.6m, Width: 2.5m",0
181,7, ,1.168.126.371,559.986.542,995.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",0
182,7,Pareto,198.840.695,1.649.471.106,3.445.000,1.5m Overhang,"Height: 3.6m, Width: 10m",0
183,7, ,158.745.499,3.522.661.014,885.000,1m Sidefin + 1m Overhang,"Height: 3.6m, Width: 1m",45
184,7, ,1.258.869.432,499.794.611,725.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",45
185,7, ,203.227.404,2.888.047.234,4.965.000,1m Sidefin,"Height: 3.6m, Width: 1m",45
186,7, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
187,7, ,1.341.823.859,517.849.598,910.000,1.5m Overhang,"Height: 3.6m, Width: 1m",180
188,7, ,1.202.180.073,540.556.999,925.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
189,7, ,1.201.013.593,548.336.327,955.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",0
190,7, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
191,7, ,1.087.287.474,5.706.929.575,915.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
192,7, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
193,7, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
194,7, ,1.762.683.915,4.984.406.968,6.280.000,2.0m Overhang,"Height: 3.6m, Width: 1m",135
195,7, ,305.199.054,15.691.766,15.220.000,No shading,"Height: 3.6m, Width: 1m",45
196,7, ,1.270.076.966,454.901.225,645.000,5m Overhang,"Height: 3.6m, Width: 1m",0
197,7, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
198,7,Pareto,138.789.575,351.639.429,365.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 5m",0
199,7, ,162.158.528,3.289.090.309,1.230.000,2m Sidefin,"Height: 3.6m, Width: 1m",0
200,7, ,151.035.964,3.531.516.353,770.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 5m",315
201,7, ,187.532.219,1.863.814.049,2.565.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 10m",0
202,7, ,2.288.478.971,446.915.093,8.545.000,2.5m Sidefin,"Height: 3.6m, Width: 2.5m",270
203,7, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
204,7, ,1.202.196.927,609.878.469,1.280.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",270
205,7,Pareto,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
206,7, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
207,7,Pareto,1.197.975.518,4.807.223.513,685.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 1m",45
208,7, ,1.117.063.271,5.485.825.817,850.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
209,7, ,276.273.877,187.382.341,13.230.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 5m",45
210,7, ,203.252.348,2.881.331.791,5.855.000,2.5m Overhang,"Height: 3.6m, Width: 1m",315
211,7, ,193.371.169,227.910.893,2.100.000,2.5m Overhang,"Height: 3.6m, Width: 1m",45
212,7, ,188.924.762,1.915.073.433,2.825.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 1m",0
213,7, ,202.647.497,2.396.263.581,3.325.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",45
214,7, ,185.956.133,2.596.894.407,1.415.000,2.5m Overhang,"Height: 3.6m, Width: 2.5m",45
215,7, ,281.479.283,194.247.317,13.440.000,2.5m Sidefin,"Height: 3.6m, Width: 5m",45
216,8, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
217,8, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
218,8, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
219,8, ,179.702.354,2.880.541.693,985.000,2.5m Overhang,"Height: 3.6m, Width: 5m",45
220,8, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
221,8, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
222,8, ,1.087.287.474,5.706.929.575,915.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
223,8, ,1.137.351.276,560.836.052,985.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
224,8, ,1.348.900.197,544.905.446,950.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",90
225,8, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
226,8, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
227,8, ,32.213.075,154.029.634,16.090.000,0.5m Sidefin,"Height: 3.6m, Width: 10m",45
228,8, ,193.371.169,227.910.893,2.100.000,2.5m Overhang,"Height: 3.6m, Width: 1m",45
229,8, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
230,8, ,170.136.806,3.245.930.961,795.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 5m",45
231,8, ,215.451.325,2.571.191.905,5.865.000,0.5m Sidefin + 0.5m Overhang,"Height: 3.6m, Width: 1m",45
232,8, ,227.212.102,1.331.944.992,5.870.000,1.0m Overhang,"Height: 3.6m, Width: 10m",0
233,8, ,1.117.063.271,5.485.825.817,850.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
234,8, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
235,8, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
