"Info","Info","Info","Objective","Objective","Extra Output","Extra Output","Variable","Variable",
"Iteration","Generation","Category","Cooling (Electric) (kWh)","Heating (Gas) (kWh)","Discomfort (All Clothing) (hr)","Lighting Energy (kWh)","Local shading type","Window Size","","","","","","","","",
"86","4"," ","10498.5393","9005.33025","147.0000","2899.83","2.0m Overhang","Height: 3.6m, Width: 1m",
"87","4"," ","10498.5393","9005.33025","147.0000","2899.83","2.0m Overhang","Height: 3.6m, Width: 1m",
"88","4"," ","7054.769154","13761.37606","317.0000","5120.14","2.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"89","4"," ","20303.7683","6107.625097","892.5000","2637.93","2m Sidefin","Height: 3.6m, Width: 10m",
"90","4","Pareto","15004.282","7106.15182","430.5000","2819.07","1.0m Overhang","Height: 3.6m, Width: 5m",
"91","4"," ","6776.247749","14075.61868","329.0000","5186.35","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 1m",
"92","4"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"93","4"," ","12754.5212","7960.43102","269.5000","2832.08","1.5m Overhang","Height: 3.6m, Width: 5m",
"94","4"," ","11175.7312","8766.53307","167.0000","2858.15","2.0m Overhang","Height: 3.6m, Width: 10m",
"95","4"," ","11098.0738","8795.84985","164.0000","2862.03","2.0m Overhang","Height: 3.6m, Width: 5m",
"96","4"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"97","4"," ","6946.551003","13259.72982","294.5000","4643.60","2m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"98","4"," ","7116.646754","13117.31315","293.0000","5914.23","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"99","4"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"100","4"," ","9199.8201","10271.70555","146.5000","2926.78","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 10m",
"101","4","Pareto","8471.933","11061.27532","182.0000","3026.68","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 5m",
"102","4"," ","12850.0092","7929.73719","274.0000","2827.57","1.5m Overhang","Height: 3.6m, Width: 10m",
"103","4"," ","21240.3089","5783.770871","953.5000","2631.63","0.5m Sidefin","Height: 3.6m, Width: 10m",
"104","4"," ","7777.57963","12311.24503","229.0000","3144.69","2m Sidefin + 2m Louvre","Height: 3.6m, Width: 10m",
"105","4"," ","7116.646754","13117.31315","293.0000","5914.23","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"106","4"," ","12045.4539","9484.08235","317.5000","2994.28","1m Sidefin","Height: 3.6m, Width: 1m",
"107","4"," ","21753.7541","5653.202206","997.0000","2624.43","No shading","Height: 3.6m, Width: 10m",
"108","4"," ","12754.5212","7960.43102","269.5000","2832.08","1.5m Overhang","Height: 3.6m, Width: 5m",
"109","4"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"110","4","Pareto","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"111","4"," ","21240.3089","5783.770871","953.5000","2631.63","0.5m Sidefin","Height: 3.6m, Width: 10m",
"112","4"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"113","5"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"114","5"," ","7245.93243","12787.65233","242.5000","2823.36","0.5m Sidefin + 0.5m Louvre","Height: 3.6m, Width: 1m",
"115","5"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"116","5"," ","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"117","5"," ","7779.04757","12205.30663","222.5000","3050.38","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 5m",
"118","5"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"119","5"," ","6776.247749","14075.61868","329.0000","5186.35","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 1m",
"120","5"," ","7257.643341","13913.40243","308.0000","3847.70","1.5m Sidefin + 1.5m Louvre","Height: 3.6m, Width: 5m",
"121","5"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"122","5","Pareto","10944.7982","8848.3379","158.0000","2871.72","2.0m Overhang","Height: 3.6m, Width: 2.5m",
"123","5"," ","11098.0738","8795.84985","164.0000","2862.03","2.0m Overhang","Height: 3.6m, Width: 5m",
"124","5"," ","7245.93243","12787.65233","242.5000","2823.36","0.5m Sidefin + 0.5m Louvre","Height: 3.6m, Width: 1m",
"125","5","Pareto","6826.36097","13710.48381","298.5000","3603.37","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 1m",
"126","5"," ","7779.04757","12205.30663","222.5000","3050.38","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 5m",
"127","5"," ","12850.0092","7929.73719","274.0000","2827.57","1.5m Overhang","Height: 3.6m, Width: 10m",
"128","5"," ","11098.0738","8795.84985","164.0000","2862.03","2.0m Overhang","Height: 3.6m, Width: 5m",
"129","5"," ","7361.375882","13425.20858","284.0000","3566.04","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 5m",
"130","5"," ","7777.57963","12311.24503","229.0000","3144.69","2m Sidefin + 2m Louvre","Height: 3.6m, Width: 10m",
"131","5"," ","10944.7982","8848.3379","158.0000","2871.72","2.0m Overhang","Height: 3.6m, Width: 2.5m",
"132","5"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"133","5"," ","12850.0092","7929.73719","274.0000","2827.57","1.5m Overhang","Height: 3.6m, Width: 10m",
"134","5"," ","6826.36097","13710.48381","298.5000","3603.37","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 1m",
"135","5"," ","7532.688193","13198.21897","269.5000","3463.10","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 10m",
"136","5"," ","7079.544144","13870.56353","304.0000","3802.36","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"137","5"," ","10944.7982","8848.3379","158.0000","2871.72","2.0m Overhang","Height: 3.6m, Width: 2.5m",
"138","5"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"139","5"," ","12022.5133","8184.90322","228.0000","2868.15","1.5m Overhang","Height: 3.6m, Width: 1m",
"140","5"," ","11175.7312","8766.53307","167.0000","2858.15","2.0m Overhang","Height: 3.6m, Width: 10m",
"141","5"," ","14605.4842","7920.01156","453.0000","2749.77","0.5m Sidefin","Height: 3.6m, Width: 1m",
"142","5","Pareto","18036.0435","6368.02866","655.0000","2628.95","0.5m Overhang","Height: 3.6m, Width: 5m",
"143","5"," ","11098.0738","8795.84985","164.0000","2862.03","2.0m Overhang","Height: 3.6m, Width: 5m",
"144","5"," ","18036.0435","6368.02866","655.0000","2628.95","0.5m Overhang","Height: 3.6m, Width: 5m",
"145","5"," ","7602.317551","13064.99089","267.5000","3442.72","1m Sidefin + 5m Overhang","Height: 3.6m, Width: 10m",
"146","5"," ","17748.6134","6430.33693","634.0000","2635.65","0.5m Overhang","Height: 3.6m, Width: 2.5m",
"147","5"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"148","5"," ","7116.646754","13117.31315","293.0000","5914.23","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"149","5"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"150","5"," ","10498.5393","9005.33025","147.0000","2899.83","2.0m Overhang","Height: 3.6m, Width: 1m",
"151","5"," ","7480.520884","13202.28969","270.5000","3551.63","1m Sidefin + 5m Overhang","Height: 3.6m, Width: 5m",
"152","5"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"153","5"," ","21240.3089","5783.770871","953.5000","2631.63","0.5m Sidefin","Height: 3.6m, Width: 10m",
"154","5"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"155","5"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"156","5"," ","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"157","5"," ","20385.2137","6001.117889","890.0000","2632.20","0.5m Sidefin","Height: 3.6m, Width: 5m",
"158","5"," ","10587.0096","10653.8335","276.0000","3270.27","2m Sidefin","Height: 3.6m, Width: 1m",
"159","6","Pareto","6961.18968","13151.92924","279.0000","3666.02","1.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"160","6"," ","21240.3089","5783.770871","953.5000","2631.63","0.5m Sidefin","Height: 3.6m, Width: 10m",
"161","6"," ","7245.93243","12787.65233","242.5000","2823.36","0.5m Sidefin + 0.5m Louvre","Height: 3.6m, Width: 1m",
"162","6"," ","7116.646754","13117.31315","293.0000","5914.23","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"163","6"," ","6776.247749","14075.61868","329.0000","5186.35","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 1m",
"164","6"," ","6826.36097","13710.48381","298.5000","3603.37","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 1m",
"165","6"," ","11175.7312","8766.53307","167.0000","2858.15","2.0m Overhang","Height: 3.6m, Width: 10m",
"166","6"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"167","6"," ","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"168","6"," ","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"169","6"," ","14668.8605","8436.76551","500.0000","2922.58","2.5m Sidefin","Height: 3.6m, Width: 2.5m",
"170","6"," ","18036.0435","6368.02866","655.0000","2628.95","0.5m Overhang","Height: 3.6m, Width: 5m",
"171","6"," ","14094.6191","7344.54681","366.5000","2854.56","1.0m Overhang","Height: 3.6m, Width: 1m",
"172","6"," ","7499.571426","13674.20255","320.5000","7140.34","2m Sidefin + 2m Louvre","Height: 3.6m, Width: 1m",
"173","6"," ","7444.761095","13207.65615","270.0000","3497.39","0.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"174","6"," ","6885.095225","13895.92384","318.5000","4947.30","1m Sidefin + 5m Overhang","Height: 3.6m, Width: 1m",
"175","6"," ","17748.6134","6430.33693","634.0000","2635.65","0.5m Overhang","Height: 3.6m, Width: 2.5m",
"176","6"," ","21223.6789","5746.054473","954.0000","2634.75","No shading","Height: 3.6m, Width: 2.5m",
"177","6"," ","12569.4795","8017.17345","257.5000","2840.91","1.5m Overhang","Height: 3.6m, Width: 2.5m",
"178","6"," ","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"179","6"," ","11021.1026","10303.5706","287.0000","3047.48","1.5m Sidefin","Height: 3.6m, Width: 1m",
"180","6"," ","7116.646754","13117.31315","293.0000","5914.23","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"181","6"," ","6826.36097","13710.48381","298.5000","3603.37","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 1m",
"182","6"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"183","6"," ","11175.7312","8766.53307","167.0000","2858.15","2.0m Overhang","Height: 3.6m, Width: 10m",
"184","6"," ","20385.2137","6001.117889","890.0000","2632.20","0.5m Sidefin","Height: 3.6m, Width: 5m",
"185","6"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"186","6"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"187","6"," ","10587.0096","10653.8335","276.0000","3270.27","2m Sidefin","Height: 3.6m, Width: 1m",
"188","6"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"189","6"," ","6946.551003","13259.72982","294.5000","4643.60","2m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"190","6"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"191","6"," ","21753.7541","5653.202206","997.0000","2624.43","No shading","Height: 3.6m, Width: 10m",
"192","6"," ","9199.8201","10271.70555","146.5000","2926.78","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 10m",
"193","6"," ","18182.5841","6337.12344","665.0000","2625.32","0.5m Overhang","Height: 3.6m, Width: 10m",
